SMILES,target1_pIC50,target2_pIC50,target3_pIC50,target4_pIC50,target5_pIC50,MolWt,LogP,HBA,HBD
O=C(O)c1ccc(Oc2ccc3c(c2)C[C@@H](NC[C@H](O)c2cccc(Cl)c2)CCC3)cc1,10.413,11.328,9.285,8.289,12.496,451.95,5.4,4,3
CCOc1ccc(-c2nnc([C@H]3C[C@H](NC(=O)c4ccccn4)C3)n2-c2ccc(Cl)s2)nc1,1.989,1.366,1.517,1.656,1.702,480.98,4.51,8,1
COc1ncc(-c2ccc3ncnc(-c4cccc(C(=O)N5CCN(C)CC5)c4)c3c2)cc1C(F)(F)F,4.478,9.569,5.721,1.637,9.988,507.52,4.77,6,0
Cl.Cl.O=[N+]([O-])c1cc2c(cc1OCCCN1CCN(c3ccccc3)CC1)CCC2,0.926,0.887,0.624,0.805,0.929,454.4,4.52,5,0
O=C[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,5.764,3.727,3.528,5.381,5.046,230.11,-2.62,6,5
COC(=O)c1ccccc1SSc1n[nH]c(-c2ccc(C)cc2)n1,7.893,7.403,4.929,4.073,8.167,357.46,4.37,6,1
NC(CO)(CO)CCc1ccc(-c2ccc(Oc3ccccc3)cc2)cc1Cl,5.073,4.703,2.614,1.479,5.749,397.9,4.41,4,3
COc1ccc(C/N=c2\ssnc2Cl)cc1,6.406,5.614,4.538,5.369,6.135,272.78,2.97,5,0
Cc1ccc(C(=O)Nc2ccccc2)cc1NC(=O)C1(c2ncnc3[nH]ccc23)CC1,1.338,7.015,4.509,1.1,4.287,411.47,4.19,4,3
CCOC(=O)c1c(C)nc2sc3c(c2c1N)CCC1(C3)OCCO1,7.303,6.835,5.016,3.038,7.187,348.42,2.6,7,1
O=C1CN(c2cccc(Cl)c2)C(=O)CN1c1cccc(Cl)c1,7.644,6.721,5.532,2.492,7.849,335.19,3.37,2,0
O=C(NNC(=S)Nc1ccc(C(F)(F)F)cc1)c1nc(-c2cccc3ccccc23)no1,7.729,7.423,5.756,4.059,9.872,457.44,4.54,5,3
Fc1ccc(-n2nnnc2-c2cnc(-c3cccs3)nc2C(F)(F)F)cc1,7.882,8.014,5.76,1.76,8.662,392.34,4.01,7,0
CCCCc1nc2ccccc2n1Cc1ccc(C(=O)O)cc1OC,7.047,6.944,4.975,4.005,7.701,338.41,4.13,4,1
Cc1cnc(NC(=O)c2cc(Oc3cnc(C(=O)N(C)C)nc3)c3cn(C)nc3c2)cn1,1.818,5.744,1.174,1.716,1.749,432.44,2.21,9,1
C=CCn1cc(-c2cccc(C(=O)N(C)C)c2)c2cc[nH]c2c1=O,8.348,6.728,5.25,1.755,8.284,321.38,2.88,3,1
CCCC1c2ccccc2CCN1CCS(C)(=O)=O,6.644,6.394,5.089,3.786,6.842,281.42,2.43,3,0
COc1ccccc1-c1nc(-c2ccc(Br)cc2)no1,7.887,6.53,3.366,3.446,6.723,331.17,4.17,4,0
Cn1cc(-c2cc(NS(C)(=O)=O)ccc2OCc2ccccc2)c2cc[nH]c2c1=O,7.32,6.957,5.839,2.963,8.787,423.49,3.48,5,2
NCCCCNc1ncnc2ccc(-c3ccc4c(c3)OCO4)cc12,7.954,6.872,5.393,5.923,7.776,336.4,3.18,6,2
CCC(=O)N1CCc2cc(CNC(=O)Nc3cc(C)ccc3C)ccc21,8.462,7.131,4.242,3.074,8.091,351.45,3.92,2,2
COc1ccc(-c2cnnc(-n3nc(C)c4c3NC(=O)C[C@@H]4c3ccc(F)cc3F)n2)cc1,1.915,5.291,2.514,1.789,1.019,448.43,3.79,7,1
CNCc1c(C)nn(-c2ccccc2)c1C,6.912,1.52,4.77,5.28,6.292,215.3,2.21,3,1
O=C(COC(=O)c1ccccc1NC(=O)c1ccco1)Nc1ccc2c(c1)OC(F)(F)O2,7.747,7.967,5.349,0.281,9.575,444.35,3.65,7,2
CCn1nc(C)c(C2C(C#N)=C(N)OC3=C2C(=O)CCC3)c1C,7.117,7.058,4.7,0.143,2.337,312.37,2.33,6,1
CCCCCC(=O)OC(C(=O)NC(C)(C)C)C(C)C,5.942,5.778,4.013,5.449,6.094,271.4,3.05,3,1
COc1ccc(-c2cc(C)nc3nc(N)nn23)cc1,7.904,6.273,4.867,4.623,7.186,255.28,1.69,6,1
Cc1cccc(Cl)c1CNC(=O)Cc1c(C)noc1C,7.293,7.166,4.892,4.337,7.776,292.77,3.11,3,1
Oc1c2c(nc3cc(-c4ccc(F)cc4)nn13)CCC2,8.539,6.919,5.311,1.752,7.726,269.28,2.73,4,1
Oc1ccc(C[C@H]2COc3cc(O)ccc3C2)cc1,8.041,7.037,5.171,5.313,7.592,256.3,2.89,3,2
Cc1[nH]c(=O)c(C#N)c(C)c1CCC(=O)Nc1ccc(N2CCCCC2)cc1,7.781,7.354,4.401,1.357,8.067,378.48,3.43,4,2
COc1ccc(OC)c(NC(=O)c2cccc(NC(=O)c3ccco3)c2)c1,7.026,6.648,4.25,1.118,7.01,366.37,3.8,5,2
Cl.NCc1cc(=O)c2cc(C(=O)NCCn3cncn3)ccc2o1,0.926,0.887,0.624,0.976,0.928,349.78,0.69,7,2
COP(=O)(CN(Cc1c(F)cc(F)cc1F)C(S)=Nc1ccccc1Cl)OC,6.13,6.879,4.693,2.922,7.199,452.82,5.62,4,1
O=c1c(-c2cc[nH]n2)n[nH]c2c(-c3ccccn3)cnn12,8.82,6.649,5.523,7.112,7.837,279.26,0.87,6,2
CN(Cc1ccc(-n2cccn2)cc1)C(=O)C[C@H]1COCCN1,7.17,6.021,5.043,4.266,6.968,314.39,1.21,5,1
C#CC(C)=CCN1Cc2cccc3nc(O)n(c23)CC1C,11.964,11.877,9.847,9.031,12.546,281.36,2.53,4,1
CCC(=O)Nc1ncc2c(ccc3[nH]ccc32)n1,7.894,6.242,5.038,4.65,7.169,240.27,2.46,3,2
Cc1ccc(-n2cnnc2)c(C(=O)N2CC3CCCC(C3)C2)c1,6.835,7.794,5.683,2.669,9.269,310.4,2.84,4,0
Cn1cccc1C(=O)C(=O)Nc1cccc(Cl)c1Cl,7.092,6.337,5.029,5.907,7.504,297.14,3.15,3,1
Nc1nc2c(cnn2CCCc2ccccc2)c2nc(-c3ccco3)nn12,7.611,7.364,5.348,1.292,8.346,359.39,2.95,8,1
O=C(Nc1cccc(Cl)c1)Nc1ncccc1OCc1cccc(Cl)c1,7.526,7.523,5.661,4.924,8.437,388.25,5.61,3,2
Cc1cccc(C)c1NC(=O)c1c(-c2ccccc2)noc1C,7.824,8.213,5.591,5.344,9.133,306.37,4.52,3,1
COc1cc(CN(Cc2ccccc2)Cc2ccc(O)c(OC)c2)ccc1O,7.627,7.002,1.882,3.89,8.268,379.46,4.32,5,2
Cc1noc(CCNS(=O)(=O)N2CCCC2c2ccc(C)o2)n1,7.833,6.363,5.229,1.153,7.678,340.41,1.49,6,1
Cc1coc2cc3oc(C(=O)N4CCc5ccccc5C4)c(C)c3cc12,9.901,8.334,5.592,1.164,8.23,345.4,4.99,3,0
Cc1cc(C)n(-c2ccc3ccccc3n2)n1,7.525,6.895,5.348,5.914,7.25,223.28,3.04,3,0
C=CCSCC=C,3.462,3.479,2.457,3.167,3.091,114.21,2.09,1,0
CC(c1ccc(S(C)(=O)=O)cc1)S(=O)(=O)c1cccc[n+]1[O-],7.942,6.927,5.17,3.855,8.098,341.41,1.26,5,0
Cc1cc(O)cc(O)c1C(=O)NCCCCCCCCCCCCOc1ccc(C(=N)N)cc1,6.615,6.312,4.338,2.252,8.281,469.63,5.4,5,5
Cc1cccc(-c2oc(C)nc2C(=O)Nc2cnn(Cc3nc(C(C)(C)O)co3)n2)c1,5.427,7.316,1.11,0.154,3.815,422.45,3.07,9,2
CCO[C@@H]1OC(C(N)=O)=C[C@H](C(C)(C)C)[C@H]1CCCO,6.518,5.617,4.599,4.801,6.716,285.38,1.8,4,2
Cc1ccc(C(C)C)c(OCCCC(C)(C)C(=O)O)c1,6.804,5.825,4.946,5.666,6.875,278.39,4.39,2,1
C=C1CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3[C@H](O)C[C@]12C,9.652,8.072,6.249,3.404,8.494,284.4,3.78,2,2
Cc1c(C(=O)O)c(C(=O)NC2CC2)nn1C(C)(C)C,7.021,5.593,4.708,4.986,6.573,265.31,1.54,4,2
CC(C)(C)OC(=O)N[C@H]1CCCN(CCF)C1,6.006,5.428,3.9,5.069,5.798,246.33,1.95,3,1
COc1ccc(C=C2CCC3C(CCCC34OCCO4)C2=O)cc1,6.681,8.319,4.9,0.901,1.269,328.41,3.6,4,0
Nc1ccc(CSc2ccccc2)cc1,6.927,5.664,4.519,5.666,6.324,215.32,3.56,2,1
O=C(O)CCc1ccccc1/N=N/c1ccc(C(=O)O)cc1,7.352,6.142,4.832,3.554,7.402,298.3,3.82,4,2
O=C(N[C@H](C/C=C/c1cccc(F)c1)C(=O)O)c1ccc2ccccc2c1,6.455,7.945,5.758,5.852,9.372,363.39,4.27,2,2
O=C(Nc1ccc(-c2nnc(NCCCCN3CCCC3)o2)cc1)c1ccccc1F,1.618,4.042,1.508,1.028,1.446,423.49,4.42,6,2
CCc1ccc(OC(C)C(=O)Nc2ccccc2C(=O)N2CCOCC2)cc1,7.626,7.758,5.523,2.637,8.959,382.46,3.13,4,1
CC(=O)Nc1cncc(-c2cccc(C(=O)N(C)C)c2)n1,8.068,6.698,4.972,7.172,7.829,284.32,1.8,4,1
CCCCCCCCC[C@H](CCCl)n1cnc2c(Cl)ncnc21,6.224,6.231,4.233,4.247,6.223,357.33,5.79,4,0
CCCCCCCCNC(=O)n1cc(C(F)(F)F)c(=O)[nH]c1=O,6.789,6.162,4.413,5.916,7.322,335.33,2.47,4,2
