SMILES,target1_pIC50,target2_pIC50,target3_pIC50,target4_pIC50,target5_pIC50
CCOc1cc(C2NC(=O)NC(C)=C2C(=O)OCC2CCCCC2)ccc1O,1.09,6.96,5.679,5.29,8.654
Cn1cccc1C(=O)C(=O)Nc1cccc(Cl)c1Cl,7.092,6.337,5.029,5.907,7.504
O=C(C1CCOCC1)N1CCC2(CCC(C(=O)N3CCCC3)O2)CC1,6.413,6.902,5.586,4.617,8.498
COc1ccc(-c2cnnc(-n3nc(C)c4c3NC(=O)C[C@@H]4c3ccc(F)cc3F)n2)cc1,1.915,5.291,2.514,1.789,1.019
Cc1nc(CN(CCO)Cc2nccn2C)cs1,6.443,4.967,4.07,5.343,5.878
COCCN1CC[C@H]2OCC[C@@H](C(=O)N3CCCO3)[C@H]2C1.O=C(O)C(F)(F)F,7.505,6.127,4.548,6.188,7.194
O=C(COC(=O)c1ccccc1NC(=O)c1ccco1)Nc1ccc2c(c1)OC(F)(F)O2,7.747,7.967,5.349,0.281,9.575
O=C(NNC(=S)Nc1ccc(C(F)(F)F)cc1)c1nc(-c2cccc3ccccc23)no1,7.729,7.423,5.756,4.059,9.872
FC(F)(F)c1cc(N2CCC(OCc3nnn[nH]3)C2)cc(C(F)(F)F)c1,8.369,7.509,5.717,5.587,8.521
COc1ccc2c(c1)-c1nc(-n3ncc(C(=O)N(C)CCO)c3C3CC3)ncc1CC2,6.619,7.001,1.96,1.694,8.033
NC/C=C\Cn1cnc2c(=O)[nH]cnc21,7.571,5.104,4.588,5.427,6.254
CCO[C@H]1CC[C@@](CS)(C(=O)N[C@@H](Cc2ccccc2)C(=O)Nc2cccnc2)CC1,6.806,7.132,5.236,1.177,7.889
CN(C)C1(Cc2ccccc2)CCN(c2cc(C(F)(F)F)ccc2CNC(=O)Nc2cccc3ncccc23)CC1,1.065,8.759,5.613,1.459,7.873
CNCc1c(C)nn(-c2ccccc2)c1C,6.912,1.52,4.77,5.28,6.292
Cn1cc(-c2cc(NS(C)(=O)=O)ccc2OCc2ccccc2)c2cc[nH]c2c1=O,7.32,6.957,5.839,2.963,8.787
O=c1c(-c2cc[nH]n2)n[nH]c2c(-c3ccccn3)cnn12,8.82,6.649,5.523,7.112,7.837
Cc1[nH]c(-c2ccccc2)nc1C(=O)O,7.853,5.855,5.289,6.787,1.456
C[C@H]1NC(=O)c2[nH]c3ccccc3c2-c2ccccc21,10.31,7.743,6.054,6.319,9.232
CCC(=O)Nc1ncc2c(ccc3[nH]ccc32)n1,7.894,6.242,5.038,4.65,7.169
COc1ccc(-c2cc(C)nc3nc(N)nn23)cc1,7.904,6.273,4.867,4.623,7.186
C=CCc1ccc(O)c(-c2cc(CC=C)ccc2OC(=O)C(C)c2cccc(C(=O)c3ccccc3)c2)c1,4.516,8.511,4.964,1.619,9.93
COc1cccc(Nc2cc(NC(=O)CCCC(=O)O)ncn2)c1,8.183,6.423,4.939,6.34,7.343
O=c1c2ccccc2[nH]c(=S)n1CCN1CCCC1,8.08,6.298,5.093,5.113,6.925
COCCCn1nc(C)c2c(Cl)cc([C@@H](C)N(C(=O)[C@H]3CNCCO3)C3CC3)cc21,7.363,6.864,4.624,1.784,7.728
Nc1nc2c(cnn2CCCc2ccccc2)c2nc(-c3ccco3)nn12,7.611,7.364,5.348,1.292,8.346
CN(Cc1ccc(-n2cccn2)cc1)C(=O)C[C@H]1COCCN1,7.17,6.021,5.043,4.266,6.968
CCC(=O)N1CCc2cc(CNC(=O)Nc3cc(C)ccc3C)ccc21,8.462,7.131,4.242,3.074,8.091
CCc1ccc(OC(C)C(=O)Nc2ccccc2C(=O)N2CCOCC2)cc1,7.626,7.758,5.523,2.637,8.959
O=C1O[C@@H](CO)CN1c1ccc(-c2ccccc2)c(F)c1,7.88,6.491,5.141,2.006,6.82
O=C(NC(=O)c1ccccc1Cl)Nc1ccc(C(=O)O)cc1Cl,8.507,6.311,4.063,1.145,6.703
O=c1oc(-c2c(F)cccc2F)nc2cnccc12,8.145,7.089,5.836,6.159,7.845
CC#CCOC(=O)C1=CCCN(C)C1,6.157,5.194,3.745,5.156,6.478
Cc1cccc(Nc2ccccc2C(=O)N[C@@H](CCCCCC(=O)NO)C(=O)Nc2cccc3cccnc23)c1C,3.981,7.375,4.263,1.859,9.109
COc1ccc2c(n1)CN(c1ncnn3c(C)nc([C@H]4CCOC4)c13)CC2,8.817,7.151,5.162,1.985,8.302
O=C[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,5.764,3.727,3.528,5.381,5.046
CCCCn1/c(=N/C(=O)c2cc3ccccc3o2)c(C(=O)OCC)cc2c(=O)n3ccccc3nc21,5.852,6.442,4.785,1.193,7.79
Cc1nc(C)c(NS(=O)(=O)c2ccc3c(c2)CCCC3)s1,7.952,7.174,5.497,5.49,7.807
CC(=O)Nc1cnc(NC(=O)c2cccc(F)c2)cc1C,7.171,6.37,4.066,1.486,6.117
COc1ccc(C/N=c2\ssnc2Cl)cc1,6.406,5.614,4.538,5.369,6.135
CCCCc1c(O)cc2n(c1=O)-c1ccc(Cl)cc1C2(C)C,8.155,7.335,5.391,1.651,8.113
CCCCCC(=O)OC(C(=O)NC(C)(C)C)C(C)C,5.942,5.778,4.013,5.449,6.094
CNC(=O)c1ccc(-c2ccc3c(c2)CCN(CCN2CCCC2)C3=O)c(F)c1,1.486,1.034,1.021,1.966,1.773
Cn1nccc1CN1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)CC1,1.064,6.534,4.89,0.914,6.906
COc1ccccc1OC(=O)c1cc(OC)c(OC)c(OC)c1,7.814,5.791,4.994,4.42,7.073
Cc1cnc(NS(=O)(=O)c2ccc(Nc3ccnc(SCC(=O)c4ccccc4)n3)cc2)nc1,5.718,7.272,5.579,1.186,9.114
Oc1cc(-c2nn(-c3ccc(Cl)cc3)c3nnc(-c4ccc(Cl)cc4)nc23)cc(O)c1O,1.217,1.731,1.394,1.336,1.137
CC(=O)Nc1cncc(-c2cccc(C(=O)N(C)C)c2)n1,8.068,6.698,4.972,7.172,7.829
