SMILES,target1_pIC50,target2_pIC50,target3_pIC50,target4_pIC50,target5_pIC50,MW,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,NumRings,TPSA,NumAtoms,FractionCSP3,HeavyAtomCount
CC(C)(C)O,3.6246249739508714,3.9728596678912353,2.930138234314238,2.055415045093071,4.405359505985649,74.12299999999999,0.7771999999999999,1,1,0,0,20.23,5,1.0,5
CN(C)C,7.116761654979951,6.115968082038729,7.83987609788034,6.301262318065422,8.077732065621161,59.111999999999995,0.17779999999999996,0,1,0,0,3.24,4,1.0,4
CC(=O)OC,5.965672733281029,4.774332116662621,5.906948266933058,3.9642828001687107,4.815740395390382,74.07900000000001,0.17930000000000001,0,2,0,0,26.3,5,0.6666666666666666,5
C1CCC(CC1)N,2.686238739559551,4.314393734689311,4.401660757018568,2.2729023334496343,4.644714245088176,99.17700000000002,1.2778,1,1,0,1,26.02,7,1.0,7
C1CC1,5.843328837327957,5.2118599853140894,5.905372502929481,5.539884527473589,7.160780681769713,42.080999999999996,1.1703,0,0,0,1,0.0,3,1.0,3
C(CO)N,4.521425525985911,5.5832345166003705,5.830194243581107,4.178286843514899,5.601432119869842,61.083999999999996,-1.0626,2,2,1,0,46.25,4,1.0,4
CCOC(C)=O,5.575890931132787,5.623156165643971,6.637803146766536,4.848374208597703,5.2974406646339185,88.106,0.5694,0,2,1,0,26.3,6,0.75,6
CC(C)(C)O,5.15938656501915,4.727339290680587,5.490701977130065,4.672356268957029,4.955574515568019,74.12299999999999,0.7771999999999999,1,1,0,0,20.23,5,1.0,5
C1CC1,4.512194703687573,3.634136697610939,4.846239360015021,3.839406893231454,3.7763825532570765,42.080999999999996,1.1703,0,0,0,1,0.0,3,1.0,3
CCN(CC)CC,5.337693551190375,6.489215169093941,6.300506919026659,4.85047702197856,5.076789082794995,101.193,1.3481,0,1,3,0,3.24,7,1.0,7
C(CO)N,6.031036774658386,7.135678341665477,5.858778429102775,6.116247760067274,5.939623698739123,61.083999999999996,-1.0626,2,2,1,0,46.25,4,1.0,4
CC(=O)N,4.435658713159163,4.689084163090056,4.681584517063434,2.6069197156616277,4.84200297252347,59.068,-0.5084,1,1,0,0,43.09,4,0.5,4
C1=CC=CC=C1C(=O)O,5.498551835678902,5.194316766148671,4.557588061210084,3.39708365737891,6.510617699935734,122.12299999999998,1.3848,1,1,1,1,37.3,9,0.0,9
CC1=CC=CC=C1,2.9707164665455608,3.4811803641076415,4.000874577001289,2.276257566185346,3.2959351954994864,92.14099999999999,1.99502,0,0,0,1,0.0,7,0.14285714285714285,7
C1=CC=C2C(=C1)C=CC=C2,7.873284577693367,7.442719712111488,7.459344872768212,6.362261840007181,8.240539825785975,128.17399999999995,2.8398000000000003,0,0,0,2,0.0,10,0.0,10
C1CCCCC1,6.769074306447149,5.179169363049227,7.284110119436054,4.923385020987823,7.711578145076251,84.162,2.3406000000000002,0,0,0,1,0.0,6,1.0,6
CCO,5.336301795456226,5.818116127153689,6.010132908248304,4.9840793605977245,4.764007006988743,46.069,-0.0014000000000000123,1,1,0,0,20.23,3,1.0,3
C1=CC=CC=C1C(=O)O,6.415096036599703,6.816451037977915,6.629849317866519,5.629067408944538,6.926064042415613,122.12299999999998,1.3848,1,1,1,1,37.3,9,0.0,9
C1=CC(=CC=C1N)N,3.6031686579466276,4.3059805979649,3.82521351922716,2.09660162042522,4.022696271046069,108.144,0.8510000000000002,2,2,0,1,52.04,8,0.0,8
C1=CC=CC=C1C(=O)O,3.693859998385826,3.371744459529613,3.4395234462592694,1.7433600188582001,3.54861671933109,122.12299999999998,1.3848,1,1,1,1,37.3,9,0.0,9
CC(C)(C)O,4.7280462559851415,5.400665977131306,5.65592085972199,4.505741497050312,5.992781102714945,74.12299999999999,0.7771999999999999,1,1,0,0,20.23,5,1.0,5
CCOC(C)=O,6.332952302394324,5.039619885553765,5.279405323211764,4.483245795991834,5.797864182265867,88.106,0.5694,0,2,1,0,26.3,6,0.75,6
CN(C)C,4.30624780437676,4.369795290939698,5.296365128237478,5.32305564860247,4.948461858535623,59.111999999999995,0.17779999999999996,0,1,0,0,3.24,4,1.0,4
CC(=O)O,5.64646640867521,5.808144631121215,5.495434193645612,5.130250061379655,5.348976394228632,60.05200000000001,0.09089999999999993,1,1,0,0,37.3,4,0.5,4
C1CCCCC1,7.288152302586769,6.495558212631478,7.626624033610785,5.495320621964752,6.873324433751065,84.162,2.3406000000000002,0,0,0,1,0.0,6,1.0,6
CN(C)C,5.828600465448714,5.881778478202846,5.891259708004236,5.3834024168831665,5.200923320275743,59.111999999999995,0.17779999999999996,0,1,0,0,3.24,4,1.0,4
CC(=O)OC,4.192607999781695,2.8300393368650916,3.662208193328815,3.4876210254649673,4.126946735288459,74.07900000000001,0.17930000000000001,0,2,0,0,26.3,5,0.6666666666666666,5
C1=CC=C2C(=C1)C=CC=C2,5.40756786378221,4.915606335618228,6.39372235977745,4.0292127311027315,6.506526402823505,128.17399999999995,2.8398000000000003,0,0,0,2,0.0,10,0.0,10
C1CCCCC1,6.580004523430142,6.716808284171599,7.152854605297774,6.6403377489209605,6.570626307656229,84.162,2.3406000000000002,0,0,0,1,0.0,6,1.0,6
CCN(CC)CC,3.5984480922363478,2.986259252748119,3.332556222700189,2.076141918385774,2.7268869399856377,101.193,1.3481,0,1,3,0,3.24,7,1.0,7
CN(C)C,5.35570255753407,5.2226682582439,4.766961270416441,4.376908657613151,6.4215262824656865,59.111999999999995,0.17779999999999996,0,1,0,0,3.24,4,1.0,4
C1=CC=C(C=C1)Cl,6.036288839396439,5.609826792105045,5.311124567710076,4.99422430825395,7.267436285643576,112.55899999999998,2.34,0,0,0,1,0.0,7,0.0,7
CCN(CC)CC,4.945737664240573,3.575139052585114,5.828461923038611,4.225096132615682,5.338970289677234,101.193,1.3481,0,1,3,0,3.24,7,1.0,7
C1CCCCC1,4.923001401283087,3.7735008098700047,3.8508142457893935,4.09897907718218,5.403628788705036,84.162,2.3406000000000002,0,0,0,1,0.0,6,1.0,6
C(CO)N,4.897585011409209,6.251859064512772,6.1182543659182835,3.8149202094374735,6.948003969002496,61.083999999999996,-1.0626,2,2,1,0,46.25,4,1.0,4
C1=CC=C2C(=C1)C=CC=C2,5.997434093367844,5.134190106264253,5.1874147212819235,4.372802202776874,6.251405411039133,128.17399999999995,2.8398000000000003,0,0,0,2,0.0,10,0.0,10
C1=CC=CC=C1C(=O)O,5.348677301160035,5.617339596138461,5.230261739376819,3.839528107004219,5.251306637957979,122.12299999999998,1.3848,1,1,1,1,37.3,9,0.0,9
C1CCC(CC1)N,4.800221480134265,5.17935230717701,5.44923524665744,4.128345614909061,5.93041896924461,99.17700000000002,1.2778,1,1,0,1,26.02,7,1.0,7
C1=CC=CC=C1C(=O)O,6.066541508987459,5.854150199829068,6.087965954705295,3.4373662040318194,6.962937338764151,122.12299999999998,1.3848,1,1,1,1,37.3,9,0.0,9
C1CCC(CC1)N,4.4960008319687,5.668440691498539,5.082731199353032,4.051482599501589,5.539597987299287,99.17700000000002,1.2778,1,1,0,1,26.02,7,1.0,7
CC(=O)N,5.154061004529177,5.4012232317638,5.443753830772438,3.960266254011037,6.216512660356843,59.068,-0.5084,1,1,0,0,43.09,4,0.5,4
C1CCCCC1,5.736101220179779,6.2614883223900515,6.211633992993927,4.844750958091587,6.05436494166581,84.162,2.3406000000000002,0,0,0,1,0.0,6,1.0,6
CC(C)(C)O,4.715643793674604,4.82582391238655,5.066114989667074,4.97989624541646,5.848692002345526,74.12299999999999,0.7771999999999999,1,1,0,0,20.23,5,1.0,5
CC(=O)N,3.1689013910057673,4.666277512384853,4.139063259931019,3.7476674980445517,4.564568676884974,59.068,-0.5084,1,1,0,0,43.09,4,0.5,4
C1=CC=C(C=C1)Cl,4.167093278262398,3.1528949615494897,3.8811890388922925,2.1264171624946187,3.563289010530901,112.55899999999998,2.34,0,0,0,1,0.0,7,0.0,7
C1=CC=C(C=C1)Cl,6.296376303427849,6.379364309076319,6.133619609483757,4.876784346086662,7.073121161627476,112.55899999999998,2.34,0,0,0,1,0.0,7,0.0,7
CC(=O)O,4.359049943480336,4.184775705725524,4.530861344137091,2.218948104481695,4.016226961309154,60.05200000000001,0.09089999999999993,1,1,0,0,37.3,4,0.5,4
C1CCCCC1,8.044697863542998,7.13929529925547,6.937623266095202,6.770805331290436,7.00430557175676,84.162,2.3406000000000002,0,0,0,1,0.0,6,1.0,6
CCN(CC)CC,7.339572502743945,7.906508907430322,6.855903766831286,6.332987248632783,7.8781700368740015,101.193,1.3481,0,1,3,0,3.24,7,1.0,7
C1CCC(CC1)N,5.306497824122367,4.92785297839883,4.047485769856985,3.065244272924128,5.682515231858704,99.17700000000002,1.2778,1,1,0,1,26.02,7,1.0,7
C1=CC=C2C(=C1)C=CC=C2,4.192265811808273,4.323206481309816,4.324978660323613,2.921950164908991,5.574456029423436,128.17399999999995,2.8398000000000003,0,0,0,2,0.0,10,0.0,10
CC(=O)OC,4.476343124428198,4.9669276061589365,6.075379151557087,3.798671990189673,5.476931172563896,74.07900000000001,0.17930000000000001,0,2,0,0,26.3,5,0.6666666666666666,5
C(CO)N,5.921194227260069,6.03226537758088,6.245598133628862,6.125440635914555,6.1626466288345085,61.083999999999996,-1.0626,2,2,1,0,46.25,4,1.0,4
CC(=O)OC,4.245610162607638,5.092933429809751,4.939889561194291,4.665756810194244,4.397456204641207,74.07900000000001,0.17930000000000001,0,2,0,0,26.3,5,0.6666666666666666,5
CN(C)C,5.11267617973353,5.299979641764458,5.724483703709443,4.872665212129024,5.835571169434713,59.111999999999995,0.17779999999999996,0,1,0,0,3.24,4,1.0,4
CC(=O)N,2.61060400701656,2.8119507745692656,1.9969914941913294,1.1762840413688642,2.7249217659619176,59.068,-0.5084,1,1,0,0,43.09,4,0.5,4
CCO,5.4312233980286395,5.772117497466505,5.418148090352324,5.074183732318445,4.696338120826557,46.069,-0.0014000000000000123,1,1,0,0,20.23,3,1.0,3
C1CCC(CC1)N,3.0018862426128345,4.148964192626022,3.1504410300271264,1.9567400506555936,3.8289494214344137,99.17700000000002,1.2778,1,1,0,1,26.02,7,1.0,7
CCOC(C)=O,6.659663590871342,6.382935027620002,6.366178137917865,6.010340357131868,7.15995900796768,88.106,0.5694,0,2,1,0,26.3,6,0.75,6
C1CCCCC1,4.9834794655093315,3.900746490601264,4.768919943481794,3.2055087971722918,4.707795837741511,84.162,2.3406000000000002,0,0,0,1,0.0,6,1.0,6
C#C,5.349720364439298,4.813114922486554,4.861828272260063,6.106126765238136,6.002831435207365,26.037999999999997,0.24939999999999998,0,0,0,0,0.0,2,0.0,2
C1CC1,6.014162062359424,5.051867721927627,5.438727499916676,5.137227684204815,6.0427101282066245,42.080999999999996,1.1703,0,0,0,1,0.0,3,1.0,3
CC(=O)N,3.950816863270123,4.817209464272539,4.261279115578177,4.1622347059114615,4.488581386395467,59.068,-0.5084,1,1,0,0,43.09,4,0.5,4
CC(C)(C)O,6.132115511070401,5.540618677593467,6.743221226999285,4.379615241439549,5.912851816162946,74.12299999999999,0.7771999999999999,1,1,0,0,20.23,5,1.0,5
C#C,4.82953653551469,3.294308097452621,4.269768716173213,3.824154361236084,3.8053206463113,26.037999999999997,0.24939999999999998,0,0,0,0,0.0,2,0.0,2
C#C,2.5149717349819873,4.124613222307989,4.1679254173305,3.506598661101045,3.80466582245623,26.037999999999997,0.24939999999999998,0,0,0,0,0.0,2,0.0,2
C1CCC(CC1)N,4.007504749847531,5.389401842717499,4.886807436739454,2.7438952692310536,5.332237494211106,99.17700000000002,1.2778,1,1,0,1,26.02,7,1.0,7
CC(C)(C)O,6.53893238217148,7.4167154312168035,5.479171220014916,5.610484156515407,6.232057157203967,74.12299999999999,0.7771999999999999,1,1,0,0,20.23,5,1.0,5
C1CCC(CC1)N,5.212052689958319,5.388455261492824,4.363807374653594,3.859835713254035,4.7998631541769585,99.17700000000002,1.2778,1,1,0,1,26.02,7,1.0,7
C1CCCCC1,4.612329584020587,4.8890751817787175,6.456488981277556,5.170809915057387,5.710584933375018,84.162,2.3406000000000002,0,0,0,1,0.0,6,1.0,6
C1=CC(=CC=C1N)N,4.614787930947971,4.5498410375623255,4.885333840362002,2.3100249388132608,4.515515473898713,108.144,0.8510000000000002,2,2,0,1,52.04,8,0.0,8
C1CCC(CC1)N,3.3240676257436306,2.805548792329961,3.7875415967205086,2.765165822200542,2.9721669874828978,99.17700000000002,1.2778,1,1,0,1,26.02,7,1.0,7
C1=CC=CC=C1C(=O)O,4.862406288224577,4.950992093316626,4.916875815765459,2.9653382115280085,4.420884816575971,122.12299999999998,1.3848,1,1,1,1,37.3,9,0.0,9
C1CCC(CC1)N,5.194228335413168,5.124095593419183,5.146201563248139,3.2334607323086444,5.114650004994483,99.17700000000002,1.2778,1,1,0,1,26.02,7,1.0,7
CC1=CC=CC=C1,6.767208460258344,6.37642621010882,5.766059919182331,5.419573454664968,8.300328782648302,92.14099999999999,1.99502,0,0,0,1,0.0,7,0.14285714285714285,7
C(CO)N,4.629380657877166,6.25353600571672,5.925159489477818,3.914299990137553,4.932412617081492,61.083999999999996,-1.0626,2,2,1,0,46.25,4,1.0,4
C1=CC(=CC=C1N)N,3.7422748988603014,3.8267666073808337,4.251864391989456,2.8503050282654487,3.741216750968021,108.144,0.8510000000000002,2,2,0,1,52.04,8,0.0,8
C1CCCCC1,5.605909903854047,4.762787207893059,5.784681158320654,4.040342783281389,5.656338348705586,84.162,2.3406000000000002,0,0,0,1,0.0,6,1.0,6
CCO,4.493360122272712,3.8968788416451194,3.7355130771008813,2.6582242789694885,3.7442538345889984,46.069,-0.0014000000000000123,1,1,0,0,20.23,3,1.0,3
C1=CC=C2C(=C1)C=CC=C2,4.558091198115354,3.146285834395508,3.1103466748294966,1.606707815546668,4.569389667428933,128.17399999999995,2.8398000000000003,0,0,0,2,0.0,10,0.0,10
C(CO)N,7.754272422165275,9.030915616092706,8.679588845512582,7.104285418096045,8.390892540228563,61.083999999999996,-1.0626,2,2,1,0,46.25,4,1.0,4
CCO,6.290313466861483,5.529405868837442,5.791779909796288,4.122499010147571,6.3792318372809325,46.069,-0.0014000000000000123,1,1,0,0,20.23,3,1.0,3
CC(=O)OC,6.443840538468555,5.4375925390458395,6.734344476717897,5.423879752665704,4.9425122301047955,74.07900000000001,0.17930000000000001,0,2,0,0,26.3,5,0.6666666666666666,5
CCO,6.367905085016764,6.020537124553857,5.137110684858456,5.14303591994304,4.7291815188521,46.069,-0.0014000000000000123,1,1,0,0,20.23,3,1.0,3
CC1=CC=CC=C1,4.8732473963723795,3.878662766633745,4.488138159721444,3.1687982731624373,5.343595503497367,92.14099999999999,1.99502,0,0,0,1,0.0,7,0.14285714285714285,7
C1CCC(CC1)N,5.291070063142179,4.984094349135213,4.6464830660825545,4.464465566019752,6.606803115499753,99.17700000000002,1.2778,1,1,0,1,26.02,7,1.0,7
C1=CC=C(C=C1)Cl,4.303414387259581,3.162691479144592,3.1359308912517623,2.2097784890897305,3.1383744119919434,112.55899999999998,2.34,0,0,0,1,0.0,7,0.0,7
C#C,3.537524046318256,3.5043065915724108,2.5021611237830435,3.642893689544751,3.81952851513904,26.037999999999997,0.24939999999999998,0,0,0,0,0.0,2,0.0,2
C(CO)N,4.541630115922993,5.251397937462492,3.769165078371592,2.8608591790150837,3.63471609136188,61.083999999999996,-1.0626,2,2,1,0,46.25,4,1.0,4
CCN(CC)CC,3.7841626491768077,4.171067919473349,4.232796864713146,3.2853099202616867,4.050388037829553,101.193,1.3481,0,1,3,0,3.24,7,1.0,7
CC1=CC=CC=C1,5.033471663449148,4.604551082945026,5.163810460180782,2.607935026982733,4.681885098508223,92.14099999999999,1.99502,0,0,0,1,0.0,7,0.14285714285714285,7
C1CCCCC1,3.4550771694820956,2.727505282802446,3.6755340689283855,1.2594061280282212,3.602842272697326,84.162,2.3406000000000002,0,0,0,1,0.0,6,1.0,6
CC(=O)OC,5.2464464808403894,4.575721214020333,5.604894689891436,3.9276965046251058,5.301431962316886,74.07900000000001,0.17930000000000001,0,2,0,0,26.3,5,0.6666666666666666,5
CC(C)(C)O,5.798701919638305,6.309356513504222,6.434658483821124,4.7856000783438155,6.071150241900792,74.12299999999999,0.7771999999999999,1,1,0,0,20.23,5,1.0,5
CC(C)(C)O,6.321559293652357,5.343685231252457,5.559264914690192,5.362750477186351,5.587446044996233,74.12299999999999,0.7771999999999999,1,1,0,0,20.23,5,1.0,5
CC(=O)N,4.221790462647237,4.835675607907158,5.0272749644831345,4.181571464449046,3.348676084602742,59.068,-0.5084,1,1,0,0,43.09,4,0.5,4
C1=CC(=CC=C1N)N,5.581644778966599,5.589599037260517,4.390267334637757,4.175025862521213,5.37859276831539,108.144,0.8510000000000002,2,2,0,1,52.04,8,0.0,8
C#C,6.601144958275925,7.384506769399456,6.5822178216850755,6.193482489532254,6.844589229629563,26.037999999999997,0.24939999999999998,0,0,0,0,0.0,2,0.0,2
CCO,5.741657456977259,5.580398989762077,6.24029605450272,4.999180367907408,5.8366775858784266,46.069,-0.0014000000000000123,1,1,0,0,20.23,3,1.0,3
CC1=CC=CC=C1,5.897372423594213,6.449624085350316,5.873981324688627,5.167994316456914,6.889401366206026,92.14099999999999,1.99502,0,0,0,1,0.0,7,0.14285714285714285,7
C1=CC(=CC=C1N)N,5.56137769576397,5.97975538269175,5.961065533996178,5.219002902229927,6.121640553680036,108.144,0.8510000000000002,2,2,0,1,52.04,8,0.0,8
C1=CC=C(C=C1)Cl,4.843395175716928,3.782100685590558,4.183169869957253,2.1912306747278443,4.52737968396937,112.55899999999998,2.34,0,0,0,1,0.0,7,0.0,7
CCO,3.658807824310768,3.5934470029247874,2.766004309537602,2.7090649330319017,3.323462316460014,46.069,-0.0014000000000000123,1,1,0,0,20.23,3,1.0,3
C1=CC=C(C=C1)Cl,4.582423970391008,4.756300057253759,3.9777237582986835,2.1139144488820225,4.982699261188003,112.55899999999998,2.34,0,0,0,1,0.0,7,0.0,7
CC1=CC=CC=C1,4.660322390651167,3.492392981969516,4.74459821499508,2.404557661678274,3.8069026200670573,92.14099999999999,1.99502,0,0,0,1,0.0,7,0.14285714285714285,7
CC(=O)N,6.624560176162162,6.100998857517928,6.643208240118529,5.377630247736965,5.874900002065974,59.068,-0.5084,1,1,0,0,43.09,4,0.5,4
C#C,2.4733197752448732,2.534250116413688,3.1537276975635598,2.4534380538285614,2.935977302133257,26.037999999999997,0.24939999999999998,0,0,0,0,0.0,2,0.0,2
C1=CC=C(C=C1)Cl,6.230398017599837,6.635765576227974,5.953326014181716,4.35483030330275,6.236568145487124,112.55899999999998,2.34,0,0,0,1,0.0,7,0.0,7
C1=CC=CC=C1C(=O)O,3.555781092987922,4.368334029685092,3.6797189341571084,2.9852352830026208,4.066639032214463,122.12299999999998,1.3848,1,1,1,1,37.3,9,0.0,9
CC(C)(C)O,4.872565677909806,5.119407434096986,5.106997512013697,4.690127351928432,6.098735873274714,74.12299999999999,0.7771999999999999,1,1,0,0,20.23,5,1.0,5
C1CCCCC1,6.721597223533021,4.930864591533803,5.614642174711972,4.760067812217526,5.312872154417603,84.162,2.3406000000000002,0,0,0,1,0.0,6,1.0,6
CC(=O)OC,4.565207317083124,5.509378858300418,4.809289684861083,3.838349563271487,4.145357159744636,74.07900000000001,0.17930000000000001,0,2,0,0,26.3,5,0.6666666666666666,5
C1CCC(CC1)N,3.3747808940034227,4.067034320734184,3.589761618616382,1.479235717944419,3.463906392659169,99.17700000000002,1.2778,1,1,0,1,26.02,7,1.0,7
C(CO)N,4.855327300217084,4.98126639141404,4.541252257618883,3.917253275654419,4.661935950883554,61.083999999999996,-1.0626,2,2,1,0,46.25,4,1.0,4
C1CC1,4.302100910149595,4.010989438776349,4.152236048916896,3.581451927004681,3.463232393754629,42.080999999999996,1.1703,0,0,0,1,0.0,3,1.0,3
CCOC(C)=O,6.2483872316810025,5.344868015412823,6.219465568359831,4.6698298388584245,4.300158085367364,88.106,0.5694,0,2,1,0,26.3,6,0.75,6
C(CO)N,4.59681603950749,5.174544121855812,4.906962983370234,4.998953456689437,4.768778614016535,61.083999999999996,-1.0626,2,2,1,0,46.25,4,1.0,4
CCO,4.3075846464733525,4.555472093743818,4.900559584207205,3.847863341306174,4.568708282727084,46.069,-0.0014000000000000123,1,1,0,0,20.23,3,1.0,3
CC(=O)N,3.965892883778085,4.3792140472732894,4.5902091151054,2.8578905005489528,4.7254312817451005,59.068,-0.5084,1,1,0,0,43.09,4,0.5,4
CCOC(C)=O,5.8076608872565565,6.143718884523116,6.7428126234472225,5.918881212166248,6.26338793031179,88.106,0.5694,0,2,1,0,26.3,6,0.75,6
CCOC(C)=O,7.024259590339762,5.32793504989911,6.739763682755427,4.908016277867733,5.766448953008227,88.106,0.5694,0,2,1,0,26.3,6,0.75,6
CC(=O)O,6.108367226047964,5.4593637270393005,6.014150283072767,5.093666188072046,5.296932296334539,60.05200000000001,0.09089999999999993,1,1,0,0,37.3,4,0.5,4
C(CO)N,4.446458114026146,5.518790146643315,5.569552761599153,4.418639192069786,5.006822118044392,61.083999999999996,-1.0626,2,2,1,0,46.25,4,1.0,4
C1CCC(CC1)N,5.299378134727705,4.924361300613736,6.279331061189155,4.09857341257157,4.5793385697865,99.17700000000002,1.2778,1,1,0,1,26.02,7,1.0,7
CC(=O)N,4.273131796154293,4.408413005317862,4.520143391122874,4.078605769733202,5.283784640999902,59.068,-0.5084,1,1,0,0,43.09,4,0.5,4
C1=CC=CC=C1C(=O)O,4.797664446554113,4.999684702616643,5.266165787898556,3.338279659063779,5.088980977568287,122.12299999999998,1.3848,1,1,1,1,37.3,9,0.0,9
CCO,3.968095446646792,4.371980571938216,5.75361632758951,3.984412735610048,4.846094395619113,46.069,-0.0014000000000000123,1,1,0,0,20.23,3,1.0,3
C1=CC(=CC=C1N)N,2.9627253986818096,4.732772566352831,3.7510103574913076,2.3278620203685527,3.734133338831562,108.144,0.8510000000000002,2,2,0,1,52.04,8,0.0,8
CC(=O)N,5.277473870749856,5.769200259585116,5.649040053856776,4.579666800960653,4.5577523183291175,59.068,-0.5084,1,1,0,0,43.09,4,0.5,4
C1=CC=C(C=C1)O,4.87287588364336,5.531034873178898,5.537389920980562,3.59565090516997,5.040977880876445,94.11299999999997,1.3921999999999997,1,1,0,1,20.23,7,0.0,7
CCO,4.062475609279222,4.86891600862342,4.64266372746926,3.6681434686110563,4.592194979824798,46.069,-0.0014000000000000123,1,1,0,0,20.23,3,1.0,3
CC(C)C,6.498779275408983,5.728263101248806,5.388103172843595,3.660067678298222,5.558305276954098,58.123999999999995,1.6622999999999999,0,0,0,0,0.0,4,1.0,4
CN(C)C,3.215974623723305,3.803250409943643,4.111424715393877,2.0222262508408484,3.9869185049875306,59.111999999999995,0.17779999999999996,0,1,0,0,3.24,4,1.0,4
CC1=CC=CC=C1,6.752528575205326,7.872502593304948,7.329851990086365,6.572358295844933,8.455073736613183,92.14099999999999,1.99502,0,0,0,1,0.0,7,0.14285714285714285,7
CC(=O)OC,4.30424909627748,4.367076874384519,3.9819489441985834,2.9485819027333524,4.5139451042322865,74.07900000000001,0.17930000000000001,0,2,0,0,26.3,5,0.6666666666666666,5
C(CO)N,5.342227566302383,6.951743255072843,6.791441364371725,5.814650590616137,6.588420183354474,61.083999999999996,-1.0626,2,2,1,0,46.25,4,1.0,4
C#C,5.186525257321632,4.349179553810196,3.7066704484139845,3.4109610923485243,4.3870517020507105,26.037999999999997,0.24939999999999998,0,0,0,0,0.0,2,0.0,2
CC(C)C,3.1155855538831285,2.5361719078393588,2.3187095531003674,1.1551437731033896,2.716996969667525,58.123999999999995,1.6622999999999999,0,0,0,0,0.0,4,1.0,4
CC(C)(C)O,5.80199530711329,6.152154677234914,6.684856014346783,5.40142055259568,6.096807828568185,74.12299999999999,0.7771999999999999,1,1,0,0,20.23,5,1.0,5
CCN(CC)CC,9.630851804899066,9.25925015126189,9.225696875285013,7.512604136000265,9.331372173466129,101.193,1.3481,0,1,3,0,3.24,7,1.0,7
CCOC(C)=O,5.364395290222642,4.705675717416695,5.71805708124529,3.293293500208693,5.916361839821617,88.106,0.5694,0,2,1,0,26.3,6,0.75,6
CCO,3.907997276207614,4.402550807816013,4.366682300335022,3.3361274919962303,3.4868494568988226,46.069,-0.0014000000000000123,1,1,0,0,20.23,3,1.0,3
C#C,5.2613711167328825,4.851314952348742,4.941648893157761,5.1818488898903645,4.820037227946518,26.037999999999997,0.24939999999999998,0,0,0,0,0.0,2,0.0,2
CC(=O)O,6.291884407273543,7.1016261022365095,6.323661467096734,6.402535150052323,6.8753511443694,60.05200000000001,0.09089999999999993,1,1,0,0,37.3,4,0.5,4
C1CC1,3.1081468508874437,2.551866211634074,2.9920350509008435,2.2100504985589735,4.180058264178077,42.080999999999996,1.1703,0,0,0,1,0.0,3,1.0,3
CC(C)(C)O,7.037679487564365,7.414265668939107,6.725401523950279,5.622977614854685,7.282420198277558,74.12299999999999,0.7771999999999999,1,1,0,0,20.23,5,1.0,5
C1CC1,4.534299456281003,4.6605872176527186,4.984394007337633,4.751580366243712,5.0030317307868435,42.080999999999996,1.1703,0,0,0,1,0.0,3,1.0,3
CC1=CC=CC=C1,6.768253467833316,5.732463302493724,6.23537397253509,5.305988913149696,5.836098932496451,92.14099999999999,1.99502,0,0,0,1,0.0,7,0.14285714285714285,7
